Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
SRR3437051_1 - illumina_universal_adapter	0.01156345304756581	0.011713422745793626	0.012147545556453093	0.013962968219210866	0.014649671574254022	0.016378269674879903	0.01712811816601898	0.018430486597997384	0.020143298414599282	0.02402277771349252	0.030301772184030816	0.03733850828772018	0.04451337437661938	0.051360675072020974	0.05786857066090699	0.06406468714031938	0.06930968000728695	0.07400609950442119	0.07852097673527964	0.08262146401050861	0.08629966818809609	0.08976081096035385	0.09341138914089937	0.09717247130961276	0.1007204386440024	0.10442626881863186	0.10831758783054307	0.11229573140458621	0.11654618837804298	0.12080059192250577	0.12554831684271794	0.13073805771560157	0.13595937115653317	0.14165427311818418	0.14746362563900905	0.15412149092612287	0.16078724935524868	0.16763060347964429	0.1750304241158852	0.18316430695924124	0.19193358773456248	0.20121986931166908	0.21161119077045432	0.22351799549554172	0.2368021535017214	0.2518701616026109	0.26938504372721744	0.28680520814768007	0.30318347782255994	0.31589932960387634
SRR3437051_1 - polya	0.005122649165781714	0.007901035154002305	0.0090455407457409	0.012131759272429113	0.013710387674827176	0.015502130911548976	0.017964791219289955	0.02409776256260643	0.03152520919588932	0.042918959690197336	0.05027142147436631	0.05846055631180626	0.06761660104571503	0.07485461227071014	0.08339499192768367	0.09397180222375068	0.10343567949612707	0.11482153684842311	0.12702433439896013	0.13816945091989044	0.14664273886976206	0.15430303319239866	0.1615173649913578	0.16793054287609993	0.17525143209222094	0.18248944331721606	0.19205198486474234	0.20303923854543282	0.21176510703968815	0.2205738535250693	0.23052710560218911	0.24294696455805587	0.2543407150523639	0.2643452725525616	0.27474448715335886	0.2848161363606585	0.2971767967514353	0.3093243423078884	0.32059969567201657	0.3343771750539457	0.34730219509857985	0.359382648947931	0.3755320175044632	0.39505570427112124	0.40946463501400954	0.4199072618958727	0.43113920297893493	0.44242639605608114	0.45021298065090953	0.4559631346066445
SRR3437051_1 - polyg	6.314513609592252e-05	0.00014207655621582566	0.0002210079763357288	0.00030783253846762223	0.00037097767456354476	0.00047358852071941886	0.0005604130828513123	0.0006630239290071864	0.0008682456213189346	0.0011721315887805617	0.0016693995355359515	0.002304797467501172	0.0031256842367481646	0.0039781435740431186	0.004952946612523922	0.006006681071124629	0.007348515213162982	0.009041594174734904	0.01105039881678644	0.013580150831629336	0.01645325452399381	0.01916060223410649	0.021946881364339067	0.024606870222379805	0.02699059911000088	0.029488778556795815	0.03327354015154517	0.03747663827293001	0.040752292207905993	0.04446206895354144	0.04832970853941669	0.052260493261387875	0.056814836202306276	0.061377072285236686	0.06636553803681455	0.07105011782093082	0.07602279728848471	0.08110203417320047	0.08604708764371241	0.09152887477103969	0.09712905902854682	0.10305286210854554	0.10868856550510662	0.11467551372120127	0.12065062222427794	0.12675202099954647	0.13262846522747324	0.13738802986070342	0.14112543260338084	0.14363150519218776
SRR3437051_2 - illumina_universal_adapter	0.007135400378839244	0.007198545514935166	0.007403767207246914	0.00830358539661381	0.00878506705934522	0.009858534372975902	0.010332122893695322	0.011168795946966294	0.012273835828644938	0.014740442707391912	0.018627815148297144	0.02308744038507167	0.02800881442954763	0.03266576821662191	0.037003049752210596	0.041091697314421576	0.044777794634021054	0.048163952557164894	0.051459339347170854	0.054277191045451395	0.057118722169767905	0.06024440640651607	0.0633227317911923	0.06655102687409634	0.06955436740965865	0.07265242564936485	0.07580573588315498	0.07881696956072928	0.08200579893357338	0.08546694170583113	0.08920039787750254	0.09327325915568954	0.09747241070606838	0.1020267536469868	0.10671528000210906	0.11214181513535239	0.11765517483072763	0.12329087822728871	0.1294909412777071	0.13646058567429453	0.1438485665975175	0.15161147176630996	0.16041232510967915	0.1703971497548469	0.18170407568702301	0.1949171954150948	0.2116230304834723	0.2325003911051867	0.2568586273541888	0.2784226913309463
SRR3437051_2 - polya	0.005722527958692978	0.009866427514987893	0.012218583834561007	0.016259872544700047	0.01880935741457292	0.021493025698649627	0.024602923651373808	0.030578032154450478	0.037989692503709385	0.05132120936196102	0.05922224451596333	0.06887555719662748	0.07884064898676525	0.08745601349285267	0.0973027081528106	0.10982123138382724	0.12226082319472398	0.13640138710920463	0.15256654194976077	0.167883184024028	0.180109661000601	0.19242296253930585	0.2039745758738537	0.21401465251310536	0.22476116536243018	0.2348722802797898	0.24516493746342516	0.2562113897092056	0.2663619703366251	0.2765401769610867	0.2872709035263875	0.30057874095860315	0.31261972909789437	0.32407662472829835	0.3369582324918665	0.34908999176429567	0.36077973508405325	0.3722484704274752	0.3836737934898312	0.39726183746347254	0.4112208591116774	0.4236209852125142	0.44022026286372984	0.46028857642921517	0.4745554306158877	0.48562556228770404	0.49885841487080584	0.5153077228237937	0.5278578186228582	0.5388569120165667
SRR3437051_2 - polyg	0.0011760781597865567	0.0015944146864220435	0.0019969649290335497	0.0023995151716450554	0.0029520351124843777	0.0036229521835035544	0.004451732094762537	0.005201580585901617	0.006448697023796086	0.008236493689511893	0.01081360455642673	0.013816945091989045	0.017017614177851116	0.02033273382288705	0.0240385639975165	0.028083799278661538	0.03286309676692167	0.03761082168713385	0.042386172604387984	0.048258670261308784	0.0541903664833195	0.06008259699527027	0.06567094153975941	0.07050154445109749	0.07530452136539359	0.08020221598383359	0.08488679576794983	0.08960294812011405	0.09409414592493653	0.09893658854929259	0.10397241315294242	0.10905954317967018	0.11435584146971567	0.1198770943071029	0.12592324108828748	0.13186677702331617	0.13816945091989047	0.14437346054131484	0.15025385134024763	0.15642234182261805	0.1625750460209645	0.168696177651263	0.1753540429383768	0.18217371763673645	0.1889065677729642	0.19577360132339577	0.20286164285016306	0.21051009745978166	0.21822959034750822	0.2246703942292923
SRR3437052_1 - illumina_universal_adapter	0.03463059466535363	0.03473523989500316	0.03505615193259508	0.03606772248587394	0.03661187768005154	0.03786064408720268	0.03834201214359056	0.039304748256366304	0.040588396406733965	0.043637060763857156	0.04814378198743057	0.053083036826888745	0.05841994353901516	0.06379522016867974	0.07132618852912478	0.07859205564112434	0.08285460466218217	0.08669159641599855	0.08998094480131569	0.09330168675552768	0.09643057912204885	0.09944436173595553	0.10279649725906238	0.10617653817674244	0.10949728013095444	0.11282151025948808	0.1163480544986775	0.12006296015123608	0.1240325025292752	0.12805785569646075	0.13252969517681765	0.13708176266657252	0.1420210175060307	0.14739629413569527	0.1537622122727088	0.1605467113283205	0.16872996828691433	0.17617722046363976	0.18375702326458793	0.1919891146636849	0.2011804540012359	0.21173218132423094	0.22246180553763023	0.23495295778346334	0.24949166835610576	0.267242987478989	0.28818598610618307	0.3076081407291372	0.3260884882852456	0.3405155772795952
SRR3437052_1 - polya	0.008211162353167045	0.011615620491098667	0.012829505155033304	0.016226986944321623	0.018326867885955677	0.020636039286888803	0.023761443479088325	0.030333163901079284	0.03766530632519021	0.049542539890412726	0.057649057013930236	0.06722409552686293	0.07789093260247244	0.0862660391487571	0.09608176168988372	0.10823456102651668	0.1183502665593053	0.1298786826923627	0.14197915941417089	0.1530541128854136	0.16208499620416872	0.17093100628387628	0.17899217714121232	0.18628246147346345	0.1945354819184903	0.20250944841778507	0.21301582947459863	0.2249174802600727	0.23439484989199916	0.2441094153777979	0.25489136220602193	0.2676859856178387	0.2792527716684342	0.2905718973421926	0.30200962094288697	0.31284040221161413	0.3296882841851897	0.3447397563831148	0.35718905053708816	0.3726625918279331	0.3863083297742328	0.3986146087810184	0.41404978015432525	0.43192667355278785	0.4457119384719536	0.45733104713737394	0.46929548506063773	0.48045415471560005	0.48803744569086993	0.4939254839458172
SRR3437052_1 - polyg	5.581078914642003e-05	0.00011162157829284005	0.00015347967015265506	0.0002092904592990751	0.0002232431565856801	0.00027905394573210014	0.00034881743216512516	0.00043950996452805767	0.0005371788455342928	0.0008406500115179516	0.0013289944165491268	0.0018557087391184658	0.002553343603448716	0.003491662495972903	0.004454398608748649	0.00546248098770586	0.006672877477318844	0.00810651712351751	0.010021524826104045	0.012546963034979552	0.015344478840943854	0.01791526331600083	0.02021048201964735	0.022401055493644337	0.02491602917955489	0.027601923407226354	0.031417986115112824	0.03578518036582019	0.03902918248495585	0.04263246655922159	0.04658805623997411	0.05037272537896572	0.05466317979459676	0.058733879227963776	0.06334175750686508	0.06790080134526326	0.072334270908082	0.0774793280325176	0.08222673328428495	0.08718342899535139	0.09280636600185319	0.098359539521922	0.1036824935367618	0.10950076830527608	0.11541671195479661	0.1213849782191419	0.12660677517865382	0.13056934120804964	0.13407495640130918	0.136296923444201
