Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3437062_R1_process2	29.83013604864682	48.0	70.73355072932766	86	0.0	7122793.0
SRR3437062_R2_process2	21.489388273857244	47.0	62.577070539604335	72	0.0	7122793.0
SRR3437063_R1_process2	39.35731984852923	50.0	75.9379934076896	90	0.0	14178944.0
SRR3437063_R2_process2	39.399958822223056	50.0	73.43867032692985	90	0.0	14178944.0
SRR3437064_R1_process2	38.169159570742195	48.0	76.4004711347073	90	0.0	10250996.0
SRR3437064_R2_process2	32.43301211073705	47.0	67.52978773964989	86	0.0	10250996.0
SRR3437065_R1_process2	39.21546674431605	49.0	75.09122812993353	90	0.0	9688185.0
SRR3437065_R2_process2	33.51630001606017	48.0	66.44975338517999	82	0.0	9688185.0
SRR3437066_R1_process2	46.915023072655785	49.0	79.3943457668963	90	0.0	5732307.0
SRR3437066_R2_process2	42.466296578735296	49.0	72.06751941234131	90	0.0	5732307.0
SRR3437067_R1_process2	32.67413004373606	48.0	75.66747373355956	90	0.0	11332807.0
SRR3437067_R2_process2	27.627590822322986	47.0	66.83903114206392	84	0.0	11332807.0
SRR3437068_R1_process2	40.31989759441134	47.0	76.41841707045343	90	0.0	13108404.0
SRR3437068_R2_process2	35.908481347913764	46.0	68.00825333122171	88	0.0	13108404.0
SRR3437069_R1_process2	37.962672430094415	48.0	76.30684238092427	90	0.0	11740197.0
SRR3437069_R2_process2	32.75008636049908	47.0	67.33504829603797	86	0.0	11740197.0
SRR3437070_R1_process2	37.85406547629739	49.0	75.88807953291976	90	0.0	15996395.0
SRR3437070_R2_process2	33.70034981768562	48.0	66.8816011357559	84	0.0	15996395.0
SRR3437071_R1_process2	36.03081623149102	48.0	76.36309140328586	90	0.0	15927097.0
SRR3437071_R2_process2	32.15940123401731	47.0	67.77634241820716	86	0.0	15927097.0
SRR3437072_R1_process2	37.69160815267247	48.0	75.9862093392307	90	0.0	11547525.0
SRR3437072_R2_process2	32.395949967321485	48.0	67.01146851814566	84	0.0	11547525.0
SRR3437073_R1_process2	44.84920473080164	50.0	79.09314714662835	90	0.0	4746490.0
SRR3437073_R2_process2	40.55549835978158	50.0	71.75731835524778	90	0.0	4746490.0
SRR3437074_R1_process2	36.69140954021586	47.0	71.04846204508469	86	0.0	9418319.0
SRR3437074_R2_process2	27.102016188068205	46.0	63.14111318590929	74	0.0	9418319.0
SRR3437075_R1_process2	30.436466377718418	49.0	70.69908680524235	86	0.0	6629254.0
SRR3437075_R2_process2	21.262311951579733	48.0	62.188602518473424	70	0.0	6629254.0
SRR3437076_R1_process2	40.49071262506689	50.0	70.19788127500406	90	0.0	8277903.0
SRR3437076_R2_process2	37.66663259380475	49.0	70.58505445159238	90	0.0	8277903.0
SRR3437077_R1_process2	44.516741950826976	50.0	77.21978793507337	90	0.0	17809640.0
SRR3437077_R2_process2	44.838208371469776	50.0	74.84921188749463	90	0.0	17809640.0
SRR3437078_R1_process2	55.48935075635124	50.0	79.41617041429467	90	10.0	9822791.0
SRR3437078_R2_process2	50.07815310904074	50.0	70.62800745735098	90	10.0	9822791.0
SRR3437079_R1_process2	44.02452751537624	53.0	69.044176194684	90	0.0	8641532.0
SRR3437079_R2_process2	40.39395900154754	52.0	68.83465107807272	90	0.0	8641532.0
SRR3437080_R1_process2	51.64428616170024	50.0	79.01073610113744	90	10.0	4511880.0
SRR3437080_R2_process2	46.64517309002615	50.0	71.38244811475482	90	0.0	4511880.0
SRR3437081_R1_process2	29.17335279952752	49.0	79.33116707803418	90	0.0	4796603.0
SRR3437081_R2_process2	25.370962168300252	49.0	71.79737826957954	90	0.0	4796603.0
SRR3437082_R1_process2	33.03323315492467	50.0	78.98001627617772	90	0.0	4569869.0
SRR3437082_R2_process2	28.99268917315615	50.0	71.70397838537603	90	0.0	4569869.0
SRR3437083_R1_process2	32.90560283144758	50.0	69.96038622122131	90	0.0	8573532.0
SRR3437083_R2_process2	29.25246403798083	50.0	70.25648495859116	90	0.0	8573532.0
SRR3437084_R1_process2	37.321661610531805	50.0	79.06103443685672	90	0.0	6190112.0
SRR3437084_R2_process2	33.23265364187233	50.0	71.57161776717449	90	0.0	6190112.0
SRR3437085_R1_process2	44.26235790039315	48.0	80.04738707704371	90	0.0	6611676.0
SRR3437085_R2_process2	39.22731319306061	48.0	71.61404823829842	90	0.0	6611676.0
SRR3437086_R1_process2	38.2140755375507	49.0	70.3701368143737	90	0.0	9722151.0
SRR3437086_R2_process2	35.79751498464246	49.0	70.61812535106685	90	0.0	9722151.0
SRR3437087_R1_process2	29.168070803465255	49.0	77.35725616190425	90	0.0	12127217.0
SRR3437087_R2_process2	28.787814444639224	49.0	74.5934527270354	90	0.0	12127217.0
