Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3437051_R1_process2	27.363903507182712	49.0	70.50692935076006	86	0.0	6390642.0
SRR3437051_R2_process2	18.99569680640269	48.0	62.145523720465015	70	0.0	6390642.0
SRR3437052_R1_process2	35.422372855206916	48.0	70.61447761179308	86	0.0	7096571.0
SRR3437052_R2_process2	25.559562207073427	48.0	62.36910107712584	72	0.0	7096571.0
SRR3437053_R1_process2	55.86692302010591	47.0	70.76964907032506	90	10.0	8561003.0
SRR3437053_R2_process2	54.36835738449291	47.0	71.40756591254552	90	10.0	8561003.0
SRR3437054_R1_process2	42.263252681770446	49.0	70.59749719380875	90	0.0	8501737.0
SRR3437054_R2_process2	39.33551232650308	48.0	71.09105233436414	90	0.0	8501737.0
SRR3437055_R1_process2	37.044601448128844	48.0	70.83886082123993	86	0.0	7168989.0
SRR3437055_R2_process2	26.986469613427957	47.0	63.10513156039157	74	0.0	7168989.0
SRR3437056_R1_process2	58.387044546732504	47.0	76.75655924214993	90	10.0	11256369.0
SRR3437056_R2_process2	58.482185093303016	47.0	74.50784884539588	90	10.0	11256369.0
SRR3437057_R1_process2	30.47153448244191	48.0	70.61885679481667	86	0.0	8376694.0
SRR3437057_R2_process2	21.886031231297594	47.0	62.339772229951336	72	0.0	8376694.0
SRR3437058_R1_process2	30.77591206826473	50.0	79.32557210675222	90	0.0	8039365.0
SRR3437058_R2_process2	26.107348616809077	50.0	70.59186415842545	90	0.0	8039365.0
SRR3437059_R1_process2	54.79947520611722	46.0	76.73543531153783	90	10.0	12783006.0
SRR3437059_R2_process2	54.71403897534844	46.0	74.15625604806881	90	10.0	12783006.0
SRR3437060_R1_process2	37.310837132772754	49.0	79.43083453665422	90	0.0	5489669.0
SRR3437060_R2_process2	32.86835383563947	49.0	72.166040976241	90	0.0	5489669.0
SRR3437061_R1_process2	33.21480715978785	48.0	70.71724841929716	86	0.0	12645008.0
SRR3437061_R2_process2	22.680233916219592	48.0	62.33236088106864	72	0.0	12645008.0
