Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3437051_R1_process1	29.122873273657717	49.0	99.7553133144384	100	0.0	8866923.0
SRR3437051_R2_process1	16.015139263449726	49.0	99.7553133144384	100	10.0	8866923.0
SRR3437052_R1_process1	37.397328122828775	49.0	99.78792185435564	100	0.0	9944457.0
SRR3437052_R2_process1	19.59591443246491	48.0	99.78792185435564	100	10.0	9944457.0
SRR3437053_R1_process1	55.61220444522609	47.0	99.78254346841032	100	10.0	10010488.0
SRR3437053_R2_process1	55.656679995727316	47.0	99.78254346841032	100	20.0	10010488.0
SRR3437054_R1_process1	43.04190875849169	49.0	99.75644799342206	100	10.0	9948405.0
SRR3437054_R2_process1	42.560872610096254	49.0	99.75644799342206	100	10.0	9948405.0
SRR3437055_R1_process1	39.01476759439798	48.0	99.83351356352914	100	0.0	9942840.0
SRR3437055_R2_process1	20.64177335026892	48.0	99.83351356352914	100	0.0	9942840.0
SRR3437056_R1_process1	56.817161203670395	47.0	99.75293096839304	100	10.0	15290083.0
SRR3437056_R2_process1	56.60990515935773	47.0	99.75293096839304	100	10.0	15290083.0
SRR3437057_R1_process1	32.62629706897967	48.0	99.80016465513967	100	0.0	11715395.0
SRR3437057_R2_process1	16.52849761083982	48.0	99.80016465513967	100	10.0	11715395.0
SRR3437058_R1_process1	32.62151601363071	50.0	99.52864299257966	100	10.0	9303759.0
SRR3437058_R2_process1	30.77154043777793	50.0	99.52864299257966	100	10.0	9303759.0
SRR3437059_R1_process1	53.513115001198805	46.0	99.7478923838672	100	10.0	17161925.0
SRR3437059_R2_process1	53.12018849531418	46.0	99.7478923838672	100	20.0	17161925.0
SRR3437060_R1_process1	35.525585217221106	49.0	99.75462270047468	100	10.0	6511670.0
SRR3437060_R2_process1	36.22637288029432	50.0	99.75462270047468	100	10.0	6511670.0
SRR3437061_R1_process1	35.994943755587144	49.0	99.72962424357846	100	10.0	17684914.0
SRR3437061_R2_process1	16.55308030246492	48.0	99.72962424357846	100	10.0	17684914.0
SRR3437062_R1_process1	31.80640098596615	48.0	99.78049563043031	100	0.0	9914363.0
SRR3437062_R2_process1	16.65098396072655	48.0	99.78049563043031	100	10.0	9914363.0
SRR3437063_R1_process1	39.48811804789084	50.0	99.56021246578999	100	0.0	19770524.0
SRR3437063_R2_process1	39.30386714713505	50.0	99.56021246578999	100	0.0	19770524.0
SRR3437064_R1_process1	43.73699949637484	48.0	99.7581581356625	100	0.0	13260260.0
SRR3437064_R2_process1	36.34561063293316	48.0	99.7581581356625	100	10.0	13260260.0
SRR3437065_R1_process1	45.269043622736085	49.0	99.8116958913992	100	0.0	12447790.0
SRR3437065_R2_process1	37.57204268410719	49.0	99.8116958913992	100	10.0	12447790.0
SRR3437066_R1_process1	44.0410731653143	50.0	99.81580137912678	100	10.0	6792559.0
SRR3437066_R2_process1	45.06082920409645	50.0	99.81580137912678	100	10.0	6792559.0
SRR3437067_R1_process1	38.15402379841492	48.0	99.73823922670569	100	10.0	14610944.0
SRR3437067_R2_process1	31.459500930380386	48.0	99.73823922670569	100	10.0	14610944.0
SRR3437068_R1_process1	45.66688015845746	47.0	99.7505157907117	100	10.0	16877485.0
SRR3437068_R2_process1	38.61389191466874	47.0	99.7505157907117	100	10.0	16877485.0
SRR3437069_R1_process1	42.86736227328718	48.0	99.70991731001608	100	10.0	15141979.0
