Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3437069_R2_process1	35.85484148219261	48.0	99.70991731001608	100	10.0	15141979.0
SRR3437070_R1_process1	43.421580105805745	49.0	99.71043242124175	100	0.0	20649425.0
SRR3437070_R2_process1	36.68114253566519	49.0	99.71043242124175	100	10.0	20649425.0
SRR3437071_R1_process1	41.41670786258017	48.0	99.74929152545498	100	10.0	20504971.0
SRR3437071_R2_process1	34.846364436251235	48.0	99.74929152545498	100	10.0	20504971.0
SRR3437072_R1_process1	42.80604086226937	49.0	99.74895503540728	100	0.0	14976584.0
SRR3437072_R2_process1	35.739708979717406	48.0	99.74895503540728	100	10.0	14976584.0
SRR3437073_R1_process1	42.16175552099568	50.0	99.72358004164211	100	10.0	5626996.0
SRR3437073_R2_process1	43.18005694110032	50.0	99.72358004164211	100	10.0	5626996.0
SRR3437074_R1_process1	38.59869075985449	47.0	99.74887154574344	100	10.0	13248654.0
SRR3437074_R2_process1	19.526075287361707	47.0	99.74887154574344	100	10.0	13248654.0
SRR3437075_R1_process1	32.407290900207286	49.0	99.75494825699069	100	0.0	9297971.0
SRR3437075_R2_process1	17.040301801007317	49.0	99.75494825699069	100	10.0	9297971.0
SRR3437076_R1_process1	41.17059514779932	50.0	99.74860764164987	100	0.0	9668488.0
SRR3437076_R2_process1	40.84971744581337	50.0	99.74860764164987	100	10.0	9668488.0
SRR3437077_R1_process1	44.45427909429215	50.0	99.64005199713829	100	10.0	23914393.0
SRR3437077_R2_process1	44.692815500469486	50.0	99.64005199713829	100	10.0	23914393.0
SRR3437078_R1_process1	56.70908504054779	50.0	99.76977290923259	100	10.0	11394871.0
SRR3437078_R2_process1	54.112400458934886	50.0	99.76977290923259	100	20.0	11394871.0
SRR3437079_R1_process1	45.461930845297125	53.0	99.6551253957047	100	0.0	10050424.0
SRR3437079_R2_process1	45.045327497978874	53.0	99.6551253957047	100	10.0	10050424.0
SRR3437080_R1_process1	48.353030528164055	50.0	99.80133387630194	100	10.0	5365565.0
SRR3437080_R2_process1	49.56138778385887	51.0	99.80133387630194	100	10.0	5365565.0
SRR3437081_R1_process1	27.713175916181726	50.0	99.64406932378694	100	10.0	5693457.0
SRR3437081_R2_process1	28.51748159132616	50.0	99.64406932378694	100	10.0	5693457.0
SRR3437082_R1_process1	31.61040660219001	51.0	99.698020719076	100	10.0	5392615.0
SRR3437082_R2_process1	32.49050894575328	51.0	99.698020719076	100	10.0	5392615.0
SRR3437083_R1_process1	34.42829624157454	51.0	99.6873519013787	100	10.0	9971396.0
SRR3437083_R2_process1	33.735696560926854	51.0	99.6873519013787	100	10.0	9971396.0
SRR3437084_R1_process1	35.45522759674577	50.0	99.734104363895	100	10.0	7315231.0
SRR3437084_R2_process1	36.37411589678189	51.0	99.734104363895	100	10.0	7315231.0
SRR3437085_R1_process1	45.37853232431019	49.0	99.78307626995014	100	0.0	7622504.0
SRR3437085_R2_process1	43.03112104660818	49.0	99.78307626995014	100	10.0	7622504.0
SRR3437086_R1_process1	38.8765680768927	49.0	99.63133755485697	100	10.0	11339034.0
SRR3437086_R2_process1	38.718619820543424	49.0	99.63133755485697	100	10.0	11339034.0
SRR3437087_R1_process1	29.6960479398537	49.0	99.57659646890227	100	10.0	16410874.0
SRR3437087_R2_process1	29.597955292771346	49.0	99.57659646890227	100	10.0	16410874.0
